gene	t
ABCA13	33.15420342210639
DUOXA1	33.12741243686196
WFDC10B	33.11445329408397
PDE4D	33.09814812030947
IGF2BP3	32.96854329767596
FAM179A	32.959735222473405
C1ORF106	32.93512850287995
HHIP	32.926929936914455
PRDM16	32.878454451284135
LCN2	32.87616703779079
LINC01273	32.84772863178311
RPS6KA2	32.84618215368089
DGKG	32.82218267252066
LUCAT1	32.81368529323717
NKX2-8	32.798510377584655
RP11-40C6.2	32.789852440403685
SLC46A2	32.785149062392385
PAG1	32.76319114633255
TNFSF9	32.75135423982446
KCNE3	32.715466278842825
HIF3A	32.70013131838435
ACOT11	32.656477707432686
ATOH8	32.61331606482318
ABCC6	32.611676796358275
CTD-3010D24.3	32.552254093794296
TESC	32.52736369440204
MAOA	32.52373571458222
GALM	32.46264056377714
AGER	32.45875763085658
CASP4	32.45045508634718
RP11-635O16.2	32.44088920026218
TMEM45B	32.43341771505593
CPNE8	32.421121130474724
RP11-305L7.1	32.41620035335744
SMCO4	32.415585417886334
LAMC3	32.41502054492967
FLVCR2	32.392972784571896
PARM1	32.354546826398966
S1PR4	32.34336380544431
ALPPL2	32.340725011021384
TMC6	32.319963767379775
DOK4	32.301025747718285
MCU	32.241454630590006
LINC01272	32.233233303310875
RP11-832A4.7	32.20204188573057
CASS4	32.13342322527584
F11	32.108439110142285
BLACAT1	32.09665253089506
FLRT3	32.09037332955345
MAL	32.05962707362453
PHACTR3	32.02966873339532
MUC20	32.018801011125944
IMPA2	32.01863089639693
SPINK5	32.01656970831239
RP11-1223D19.3	31.992010870591745
ADGRE3	31.959607008114777
CTC-255N20.1	31.93618587608503
TMPRSS2	31.932636772379475
RP11-59N23.3	31.91589824899383
CAPN12	31.91439637096568
PIGA	31.87180253906602
EVPLL	31.870198973291355
FEZF1-AS1	31.82078928292597
SAT1	31.820564846975582
GRIN3B	31.817723040203106
RP11-357D18.1	31.81762338019915
PLA2G4A	31.80919813972752
FOXA3	31.80271105213237
RP4-594I10.3	31.787443150767963
AHCYL2	31.726337066410387
TTC7A	31.71567393564411
CD38	31.682670776532127
WI2-2610K16.2	31.672384347936404
ENAM	31.649633826112368
CPB2	31.6092457457473
FEZF1	31.6074760627357
GGTLC3	31.60035595722007
LL0XNC01-131B10.2	31.595787163064863
SHISA3	31.583639455510564
TMEM125	31.570948654238666
ZBED2	31.526214139328296
F3	31.512155008131785
MST1L	31.484201809011186
EPHA2	31.482348103429032
RP11-314B1.2	31.466862999941135
PIGR	31.46420212243745
EGFL6	31.455187950016022
C9ORF135	31.427800927811006
AC011294.3	31.355141586253982
RP11-213H15.1	31.350826008644574
PVR	31.347484920688654
SOX21	31.32274984326524
RETN	31.236016376889193
PLA2G10	31.220106438405065
MOXD1	31.21689184208081
ADGRF5	31.1760560807411
GNA15	31.168730121352315
CYP2S1	31.16063009186116
SLC16A10	31.107400799454467
NFE2	31.102231097257523
CAMK1G	31.101914559634878
LINC00551	31.09773061338563
AC109642.1	31.09277737700878
C1ORF116	31.060643945685428
BIRC7	31.056179532335836
AC009065.4	31.051063109710267
TNFSF15	31.044352039070617
WNT7A	31.030456929544144
ALDH3A1	31.01364905656181
STX19	30.992064891738135
DTX4	30.99190873982552
ARPC1B	30.973358318724962
AF064858.8	30.94911508018504
FABP6	30.904232515777206
RNASE1	30.873548557779213
TNFRSF10B	30.804993587930458
TRIM31	30.78197719009966
VWA7	30.777872056400646
FTL	30.776020309809688
LL22NC03-N95F10.1	30.77097056829978
SPSB2	30.74289171438867
UNC5CL	30.70612675468093
IGF2BP2	30.689059759423888
SCGB3A1	30.605985940129983
LINC00511	30.547962442477548
AC092066.1	30.5370469211741
MFSD4	30.53471477268407
TOX	30.523256278174873
TNFRSF10C	30.448058271992263
B3GNT3	30.431816550843006
HYAL1	30.41166206644078
THEMIS2	30.35271201228562
CLDN2	30.33320907728839
BX470102.3	30.316809541508473
CRYM	30.305720485247313
OSMR	30.289257753880133
EFCAB10	30.282667651310177
GGT3P	30.277436407499447
LILRB3	30.266356236681073
FAM135A	30.250102317638078
AC013275.2	30.245333842178752
LHFPL3	30.226585182111798
PLAG1	30.183560354264618
C12ORF74	30.174692338128185
TMEM132D	30.107733249827877
SOX21-AS1	30.10280000258019
C8ORF4	30.102553963060497
ERO1L	30.098923752112142
AP1S3	30.0980934992795
ERICH5	30.08454207605185
RP11-1008C21.1	30.02514620886794
ERRFI1	29.98374963645812
PRKAB1	29.969819341849654
ACHE	29.955317538612295
CCL24	29.91812244337623
HS3ST1	29.908376471608438
HS6ST2	29.847183856891892
RP11-462G2.1	29.82441811392752
PLS3-AS1	29.822943771160038
RP11-30P6.6	29.818929561259296
TRADD	29.815879456946583
ITPR3	29.81579592920433
