gene	t
STEAP1B	26.529501174715687
ARID3B	26.520730612118346
SLC38A5	26.516710555289023
A4GALT	26.516370762897065
NXN	26.511082563432918
ERICH5	26.502659340774205
PDK1	26.502325621361216
FMO6P	26.502318494350796
RP11-646E18.4	26.48872908709939
TCF24	26.480266440794953
POR	26.455612987336327
GPNMB	26.430463069431287
SNCA	26.427313933455252
PKM	26.421666714372797
BCORP1	26.410820740421812
AMY1C	26.39937449181373
LINC00649	26.393924629073297
RPS6KA4	26.391795405314145
ITM2C	26.387183117523588
ZC3H12C	26.379024436927793
MAPK6	26.36971655933861
MMP1	26.367216489718764
RNF19B	26.365322197568535
MAP3K13	26.32819045233494
FGG	26.309995871788082
ARL4C	26.29933319246812
PPP4R1	26.29131826108995
FAM43A	26.28599677917192
LINC01579	26.282664575110523
MIXL1	26.271859800195152
RP1-27K12.2	26.271403319622582
LEMD1	26.265213750499544
RP11-16E12.2	26.237847635176433
OGDHL	26.203344607016305
RP11-1166P10.1	26.19938635804578
RYR1	26.198170158655692
EIF5A2	26.19397385364271
AC011997.1	26.174234700727883
CYP2W1	26.170391924827214
HP	26.133535756780844
RP3-342P20.2	26.13147488516623
ISM2	26.121507671286697
MSANTD3	26.11665351935689
RP11-390P2.4	26.110226429529725
RP11-416L21.1	26.096928552775488
APOBEC3A	26.076236520278204
DNAI2	26.07616316871779
XKRX	26.063056264601304
FGA	26.047440434869063
SLC6A15	26.041593533234643
PCP4L1	26.037216489806703
UGT1A8	26.01771334139611
RP11-758M4.4	26.009396852255907
RRAD	26.007161008175537
GRK7	25.983829396071414
PTPN2	25.947846104812164
CALML3	25.94495520755896
SERPIND1	25.935926520578942
PPP1R3G	25.92085577287228
TMC6	25.919077844179345
FAM126A	25.918945368559932
TREML3P	25.916084726022216
RP11-91I8.2	25.912004955521095
SEMA3A	25.89940214548198
FOXD1	25.893690937844116
GBP1P1	25.86556943499169
CTC-480C2.1	25.843618884478175
WNT2B	25.84135659875808
AC006262.5	25.834105041258695
RP11-400G3.5	25.81431588714587
RP11-108K3.2	25.813659411502954
IKBKG	25.807397392272094
ASPG	25.799564056943787
LINC01559	25.799245356924576
RP11-311F12.1	25.79442704709285
USP44	25.776298502309576
DSG3	25.769561537590707
EXT1	25.76537729576155
COL6A4P1	25.76143573522524
RP11-699L21.1	25.756746785047913
TTC22	25.746338384071514
RP11-874J12.4	25.739233212420228
MED15	25.736362694212097
GM2A	25.733763703365362
LRP8	25.703411681197604
CCDC82	25.690665747873698
POLD2P1	25.685161581427106
QSOX2	25.663128363184363
ADAMTS20	25.617561481830233
NPC1	25.607648339328605
LSAMP-AS1	25.603212761334564
CTC-573N18.1	25.59127697884056
POU2AF1	25.585985506207503
ADPGK	25.583868978463155
LGALS7	25.567125950649288
LSAMP	25.564470424681122
